date;bulls;temperature
24/04/2018;0;16.4
25/04/2018;1;14.3
26/04/2018;0;13.7
27/04/2018;NA;13
28/04/2018;NA;1.7
29/04/2018;NA;12.7
30/04/2018;NA;12.1
01/05/2018;NA;12.2
02/05/2018;NA;12.2
03/05/2018;NA;12.3
04/05/2018;0;13.2
05/05/2018;0;13.2
06/05/2018;0;14.8
07/05/2018;7;15.9
08/05/2018;8;14.1
09/05/2018;0;13.7
10/05/2018;0;13.3
11/05/2018;0;14.5
12/05/2018;NA;12.6
13/05/2018;NA;12.4
14/05/2018;0;12.8
15/05/2018;0;12.9
16/05/2018;0;13.1
17/05/2018;0;13.6
18/05/2018;0;14.7
19/05/2018;19;15.4
20/05/2018;19;15.5
21/05/2018;1;15.7
22/05/2018;6;16.1
23/05/2018;17;16
24/05/2018;11;17.2
25/05/2018;28;16.2
26/05/2018;0;16.2
27/05/2018;0;15.6
28/05/2018;0;15
29/05/2018;0;15.4
30/05/2018;18;15.5
31/05/2018;5;15.3
01/06/2018;5;16.6
02/06/2018;18;17.2
03/06/2018;35;15.3
04/06/2018;0;15.2
05/06/2018;0;14.7
06/06/2018;0;14.9
07/06/2018;3;16.1
08/06/2018;3;16.3
09/06/2018;4;15.7
10/06/2018;0;16.1
11/06/2018;0;15.4
12/06/2018;NA;14.6
13/06/2018;NA;13.9
14/06/2018;NA;13.8
15/06/2018;NA;14.3
16/06/2018;NA;14.6
17/06/2018;NA;14.9
18/06/2018;NA;15.1
19/06/2018;NA;15.9
20/06/2018;NA;17.3
21/06/2018;NA;16.4
22/06/2018;NA;17.1
23/06/2018;NA;16.9
24/06/2018;NA;17.4
25/06/2018;NA;17.9
26/06/2018;NA;18.5
27/06/2018;NA;17.2
28/06/2018;NA;16.6
